,name,age,location,gender,join_date,total tweets,followers,following,verified,tweet,likes,retweets,date,word count,launguage,is quote,hashtags,trending,tweet id
3942,uupinn_,,Indonesia,,2020-06-21,177555,8740,5973,False,"RT @Buncaw: $40 || 5 Hours

➡️ RT + Join Telegram👇 • post proof

https://t.co/zFpjTDTvTC",0,708,2023-01-09,13,en,False,[],"['#TimnasDay', 'Vietnam', '#NCTzenSelcaDay', 'DAYDREAM CONCEPT CLIP', '#11YearsWithSEHUN', 'Asnawi', '#styout', 'PSSI', '#y2kDMDCallingYou', 'Klok', 'Piala Asia', 'Wendy', 'Gareth Bale', 'Gus Muhaimin', 'Irianto', 'CHAEWON DOCUMENTARY RELEASE', 'Passing', 'NCT 127 TEASER IMAGE 1', 'Van Hau', 'Jordi Amat', 'Federasi', 'Arhan', 'Pacitan', 'No 5', 'Husky', 'dowoon', 'Kasian STY', 'Garuda', 'Rafli', 'Juara', 'Abimanyu', 'AFF 2022', 'Apresiasi', 'Spaso', 'Split', 'Shin Tae Yong', 'PKB Bersama', 'Kerasa', 'KDRT', 'Samoyed', 'Rizky Ridho', 'chenle', 'Guru SD', 'Guru TK', 'Venna Melinda', 'Saddil', 'Totole', 'Nadeo', 'Marselino', 'NOMIN JAYA JAYA JAYA']",1612459909932781568
3943,CroweKai,,,,2015-03-11,24949,472,337,False,RT @braylon125: tbh I’m scared to put my all into a mf again…,0,173,2023-01-09,13,en,False,[],,1612459909928345600
3944,DeArMoRa18,,,,2016-03-27,9488,207,232,False,RT @dreamyyarchive: hot girls were raised by them &lt;3 https://t.co/PvyEggsMBR,0,14385,2023-01-09,10,en,False,[],,1612459909920231424
3945,Evenshroud,,,,2021-08-27,5614,112,459,False,"RT @shugmeister1: @Evenshroud No because why do some of the weapons feel unfinished 

Ribido Libido’s combos don’t connect sometimes

The Y…",0,1,2023-01-09,20,en,False,[],,1612459909915856898
3946,rowsonancefaves,,,,2022-02-04,92,6,69,False,"Another night 🎶🖤

#엑스디너리히어로즈 #XdinaryHeroes #Gunil #Jungsu #Gaon #Ode #Junhan #Jooyeon #WE_ARE_ALL_HEROES https://t.co/FaINTQwnBf",0,0,2023-01-09,12,en,False,"[{'text': '엑스디너리히어로즈', 'indices': [18, 28]}, {'text': 'XdinaryHeroes', 'indices': [29, 43]}, {'text': 'Gunil', 'indices': [44, 50]}, {'text': 'Jungsu', 'indices': [51, 58]}, {'text': 'Gaon', 'indices': [59, 64]}, {'text': 'Ode', 'indices': [65, 69]}, {'text': 'Junhan', 'indices': [70, 77]}, {'text': 'Jooyeon', 'indices': [78, 86]}, {'text': 'WE_ARE_ALL_HEROES', 'indices': [87, 105]}]",,1612459909907623938
3947,NthabiDaBlack,,"Pretoria, South Africa",,2019-11-30,1778,780,1085,False,"RT @Ohluwatoscene: i can’t wait to wake up one day with no heavy weight on my heart, just genuine peace",0,4051,2023-01-09,20,en,False,[],"['Gareth Bale', '#Sizokthola', '#BackToSchool', '#MCICHE', 'Wealth', 'Felix', '#IsencaneLengane', 'Chelsea', '#MondayMotivation', 'Potter', 'Tuchel', 'Palmer', 'Andries', 'De Ruyter', 'BET QUEEN OF BEENAVY', 'Mahrez', 'Belgium', 'Sunnyside', 'Not Alostro', 'Blessed Sunday', 'Portugal', 'Eskom CEO', 'Weghorst', 'Mandoza', 'BEAUTY X BEENAVY FOREVER', 'Alvarez', 'Die Stem', 'Londie', 'Roberto Martinez', 'Camilla', 'Siyacela', 'Arnell', 'Laconco', 'Chenin Blanc', 'Pedri', 'Ntombi', 'Emtee', 'Dwaine Pretorius', 'Moja Love', 'Fredo', 'mandela capture site', 'Annie', 'Showmax', 'The ANC', 'Zidane', 'Gqom', 'Sign the Petition', 'Nox the Fox', 'Howick', 'Stormers']",1612459909907447809
3948,PRODUAP,,"Vancouver, Washington, USA",,2022-07-29,11603,367,3060,False,"RT @TheRoyalistsUK: Her Royal Highness The Princess of Wales turns 41 today, The Royalists wish her many happy returns of the day.

In cele…",0,187,2023-01-09,23,en,False,[],"['Brazil', 'F-35', 'Lions', 'Packers', '#MondayMotivation', 'Gareth Bale', '#Seahawks', '#OnePride', 'Lula', '#flames1stgoal', 'Aaron Rodgers', 'Dan Campbell', 'CF-18s', 'Poetry', 'Morneau', 'Brésil', 'Inside Job', 'Rams', 'Joao Felix', 'Texans', 'Bannon', 'Wealth', 'GRACIE', 'Hines', 'Green Bay', 'Jamaal Williams', 'Trees', 'Cowboys', 'Bears', 'Brasilia', 'Lovie Smith', 'Quay Walker', '49ers', 'Zellers', 'Nation', 'Steelers', 'Arsenal', 'Bill 124', 'Zidane', 'Camilla', 'Thad', 'Anderson Cooper', 'Iranian', 'Dolphins', 'Geno Smith', 'Prince Harry', 'Sutcliffe', 'Good Monday', 'Jessica Robb']",1612459909903454216
3949,loveschoiyj,,,,2019-12-18,47402,596,490,False,"RT @txtlov: while we wait and in order to get more unique tweets, what was your fav daydream concept photo? mine were these 🌟

DAYDREAM CON…",0,29,2023-01-09,25,en,False,[],,1612459909903421444
3950,ms_nonsoo,,Nigeria,,2022-07-17,1811,91,72,False,RT @derinmama: in my peace era really https://t.co/RWrRC9IN2d,0,128,2023-01-09,8,en,False,[],"['Gareth Bale', 'Chelsea', '#MondayMotivation', 'Potter', '#KongaAt40', '#MCICHE', 'Felix', '#AtikuGate', 'Ojota', '#LowkeyByDrSpartaa', 'Tuchel', 'Yoruba Nation', 'Happy New Week', 'BEAUTY X BEENAVY FOREVER', 'BET QUEEN OF BEENAVY', 'Stop Brymo', 'DEAR PHYNA', 'PHYNA X PHYNATION FOREVER', 'Golf', 'Airtel', 'Raymond Dokpesi', 'Channels TV', 'Igbo', 'Chew', 'London', 'Studied', 'Roberto Martinez', 'National Theatre', 'Binani', 'tomorrow is monday', 'Ward Prowse', 'Belgium', 'Where is Atiku', 'SWEETNESS AT 23', 'CHI CHI IS TURNING 23', 'Brekete', 'Christensen', 'WHERE IS BELLA', 'Weghorst', 'Yola', 'Jin Mu', 'It Is Raining Miracles Already', 'Havertz', 'Kessie', 'Mahrez', 'Pedri', 'Portugal', 'Bellerin', 'Savic', 'Special Purpose Vehicle']",1612459909899247616
3951,SeanHMyburgh,,"Perth, Western Australia",,2022-10-17,234,9,43,False,Things to do right now 🧵,0,0,2023-01-09,6,en,False,[],"['#TheBachelorsAU', '#HarryTheInterview', 'Brazil', 'Dutton', 'Australia Day', 'Prince Harry', 'Packers', '#DETvsGB', 'Camilla', '#abc730', 'Fraser', 'Lions', 'Ken Wyatt', '#AusOpen', 'Saint Gurmeet Ram Rahim Ji', 'Royal Family', 'Agar', 'Rodgers', 'Inside Job', 'APPLETV SAVE WARRIOR NUN', 'Speers', 'marcia langton', 'Lula', 'Princess of Wales', 'Warner', 'Potter', 'Diana', 'Charles', 'Green Bay', 'amanda stoker', 'The Voice', 'Meghan', 'Seahawks', 'fischer mcasey', 'Crows', 'boland', 'Tennis Australia', 'Spud', 'Piers', 'Oprah', 'Albo', 'Texans', 'Rina', 'Aboriginal', 'Jair Bolsonaro', 'Travis Head', 'narty', 'Caleb Jewell', 'Lidia', 'matty healy']",1612459909899235328
